#timestamp,errorrate,Namespace,OperatorGroup,Subscription
1551683966,0.333,0.333,0.333,1.0
1551715356,0.333,0.333,0.333,1.0
1551799205,0.3,0.4,0.4,1.0
1551885603,0.3,0.4,0.4,1.0
1551972002,0.3,0.4,0.4,1.0
1552058406,0.3,0.4,0.4,1.0
1552231203,0.3,0.4,0.4,1.0
1552317603,0.3,0.4,0.4,1.0
1552404002,0.3,0.4,0.4,1.0
1552490403,0.3,0.4,0.4,1.0
1552576803,0.3,0.4,0.4,1.0
1552663205,0.182,0.455,0.455,1.0
1552749602,0.182,0.455,0.455,1.0
1552836003,0.182,0.455,0.455,1.0
1552922404,0.167,0.5,0.5,1.0
1553008803,0.167,0.5,0.5,1.0
1553095203,0.167,0.5,0.5,1.0
1553181603,0.167,0.5,0.5,1.0
1553268004,0.167,0.5,0.5,1.0
1553354402,0.167,0.5,0.5,1.0
1553440803,0.167,0.5,0.5,1.0
1553527203,0.167,0.5,0.5,1.0
1553613603,0.167,0.5,0.5,1.0
1553700002,0.154,0.462,0.462,1.0
1553786403,0.067,0.467,0.467,1.0
1553872803,0.0,0.529,0.529,1.0
1553959202,0.0,0.529,0.529,1.0
1554045603,0.0,0.529,0.529,1.0
1554132002,0.0,0.529,0.529,1.0
1554218403,0.0,0.529,0.529,1.0
1554304802,0.0,0.529,0.529,1.0
1554391203,0.0,0.529,0.529,1.0
1554477603,0.0,0.5,0.5,1.0
1554564003,0.0,0.5,0.5,1.0
1554650402,0.0,0.5,0.5,1.0
1554736808,0.0,0.45,0.45,1.0
1554823203,0.0,0.45,0.45,1.0
1554909602,0.0,0.45,0.45,1.0
1554996003,0.0,0.45,0.45,1.0
1555082402,0.0,0.455,0.455,1.0
1555168803,0.0,0.455,0.455,1.0
1555255207,0.0,0.455,0.455,1.0
1555341603,0.0,0.455,0.455,1.0
1555428003,0.0,0.455,0.455,1.0
1555514405,0.0,0.478,0.478,1.0
1555600802,0.0,0.478,0.478,1.0
1555687202,0.0,0.478,0.478,1.0
1555773603,0.0,0.48,0.48,1.0
1555860003,0.0,0.48,0.48,1.0
1555946404,0.0,0.48,0.48,1.0
1556032802,0.0,0.48,0.48,1.0
1556119203,0.0,0.48,0.48,1.0
1556205602,0.0,0.5,0.5,1.0
1556292004,0.0,0.5,0.5,1.0
1556378404,0.0,0.5,0.5,1.0
1556464803,0.0,0.5,0.5,1.0
1556551203,0.0,0.5,0.5,1.0
1556637605,0.0,0.519,0.519,1.0
1556724006,0.0,0.519,0.519,1.0
1556810406,0.0,0.5,0.5,1.0
1556896810,0.0,0.5,0.5,1.0
1556983206,0.0,0.467,0.467,1.0
1557069605,0.0,0.467,0.467,1.0
1557156003,0.0,0.484,0.484,1.0
1557242405,0.0,0.484,0.484,1.0
1557328806,0.0,0.484,0.484,1.0
1557415203,0.0,0.485,0.485,1.0
1557501603,0.0,0.471,0.471,1.0
1557588003,0.0,0.486,0.486,1.0
1557674403,0.0,0.486,0.486,1.0
1557760806,0.0,0.472,0.472,1.0
1557847203,0.0,0.472,0.472,1.0
1557933606,0.0,0.472,0.472,1.0
1558020006,0.0,0.5,0.5,1.0
1558106406,0.0,0.5,0.5,1.0
1558192806,0.0,0.5,0.5,1.0
1558279203,0.0,0.5,0.5,1.0
1558365606,0.0,0.5,0.5,1.0
1558452006,0.0,0.5,0.5,1.0
1558538405,0.0,0.487,0.487,1.0
1558624806,0.0,0.487,0.487,1.0
1558711206,0.0,0.487,0.487,1.0
1558797606,0.0,0.5,0.5,1.0
1558884003,0.0,0.5,0.5,1.0
